Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score,Score_Range,Parent_Edu_mapped,Motivation_mapped
Low,8,19,4,4,1,0,0,0,2,1,1,21,5,0,0,0,2,1,4,0,College,Medium
Low,25,23,1,1,2,0,0,0,0,0,0,15,2,1,1,1,4,2,9,0,School,High
Low,1,35,2,4,0,0,0,0,0,1,1,28,2,2,1,1,0,1,15,0,College,Low
High,2,33,3,5,0,2,1,1,2,2,0,16,2,1,0,1,1,1,24,1,School,Low
Low,45,53,2,6,0,1,0,1,2,1,1,17,0,0,0,1,4,1,47,2,College,Low
High,3,33,1,2,0,0,0,0,0,0,2,8,4,2,0,0,3,2,27,1,Higher,Low
Medium,24,16,3,4,1,2,1,0,1,0,0,14,2,0,2,0,3,2,13,0,School,Medium
Low,50,4,1,6,2,1,1,0,0,2,2,14,5,2,1,0,2,0,21,1,Higher,High
Low,12,17,3,6,0,0,0,1,0,2,0,17,2,2,2,0,0,1,15,0,School,Low
Low,38,54,1,3,1,1,1,1,0,2,0,29,3,1,2,0,3,0,41,2,School,Medium
Low,43,52,0,1,1,1,0,0,2,1,0,6,5,0,0,0,1,2,38,1,School,Medium
Low,34,49,4,5,1,2,0,1,0,1,1,14,0,0,1,0,0,0,32,1,College,Medium
Medium,54,44,4,4,2,2,0,0,1,1,0,1,0,1,2,0,1,2,41,2,School,High
Medium,22,12,3,3,1,2,1,0,0,1,2,26,2,2,0,0,1,0,17,0,Higher,Medium
High,8,15,0,5,2,1,1,1,1,1,2,5,3,1,2,1,1,2,32,1,Higher,High
Low,1,12,2,2,2,0,1,0,1,0,0,9,3,0,1,0,3,0,6,0,School,High
Low,53,19,0,1,2,0,0,1,1,0,2,17,1,2,0,1,2,1,22,1,Higher,High
High,40,65,3,6,2,0,0,0,0,0,0,13,1,0,2,0,3,0,55,3,School,High
Medium,43,46,0,4,1,2,0,0,2,1,0,2,2,2,1,1,3,1,43,2,School,Medium
Low,30,18,2,2,1,0,1,1,2,2,0,14,5,2,1,0,2,1,13,0,School,Medium
Low,43,44,3,5,1,0,1,1,0,0,1,16,0,1,2,1,4,0,31,1,College,Medium
High,46,36,4,3,0,2,0,1,0,0,2,16,5,0,1,0,1,2,44,2,Higher,Low
Medium,1,53,0,5,0,0,1,0,1,1,1,4,3,1,0,1,4,1,29,1,College,Low
Low,31,5,4,5,2,0,1,0,0,1,0,16,3,1,0,1,1,0,7,0,School,High
Low,17,13,4,1,2,0,1,0,2,1,0,14,3,1,0,1,4,0,13,0,School,High
High,12,3,1,4,2,1,1,0,0,0,1,27,0,0,0,0,1,1,19,0,College,High
High,45,54,2,2,2,1,0,0,0,2,2,14,6,0,2,0,2,2,50,2,Higher,High
Low,4,33,0,1,2,2,0,1,0,1,1,24,1,2,2,1,2,1,17,0,College,High
Medium,57,26,4,3,0,0,0,1,1,1,1,14,6,2,1,1,2,0,35,1,College,Low
High,41,6,4,6,2,1,1,0,0,2,2,5,2,2,1,0,0,0,34,1,Higher,High
Low,43,2,2,4,1,2,1,1,0,2,0,18,1,2,1,1,1,1,9,0,School,Medium
Medium,9,46,4,6,2,2,1,1,0,2,2,11,3,1,0,1,2,2,34,1,Higher,High
Medium,55,1,4,1,1,0,0,0,2,1,2,21,5,2,2,0,4,1,22,1,Higher,Medium
Medium,42,24,4,3,1,2,1,1,1,1,1,6,5,0,2,1,0,1,28,1,College,Medium
Medium,24,59,4,3,1,2,0,0,1,0,0,17,3,2,1,0,0,1,41,2,School,Medium
High,33,23,1,2,1,0,0,0,2,0,0,9,0,0,2,0,2,2,27,1,School,Medium
Medium,36,14,1,5,2,0,0,1,1,0,0,8,6,1,2,1,3,1,24,1,School,High
High,29,13,3,3,2,1,1,1,2,0,1,8,0,1,1,1,2,1,31,1,College,High
Medium,6,53,0,3,2,2,0,0,1,0,0,24,6,0,2,0,3,0,28,1,School,High
High,5,5,2,5,2,0,0,0,1,0,0,10,6,1,0,1,2,0,12,0,School,High
Low,53,17,3,0,2,2,1,0,1,1,2,14,0,0,2,1,1,2,30,1,Higher,High
Low,54,19,1,3,0,2,0,1,0,0,1,13,2,0,0,0,4,2,21,1,College,Low
Medium,2,61,1,4,1,1,1,0,1,1,0,14,4,0,0,0,3,0,40,1,School,Medium
Medium,12,39,1,6,1,1,0,0,0,1,1,6,5,1,1,0,3,1,33,1,College,Medium
Low,2,38,3,6,0,1,1,0,0,2,2,17,6,2,1,0,0,2,19,0,Higher,Low
High,25,51,1,1,0,1,0,0,0,1,0,23,4,1,1,0,3,2,50,2,School,Low
High,56,31,3,5,2,1,0,1,2,1,1,8,5,1,2,0,1,2,42,2,College,High
High,23,26,1,5,2,0,0,0,1,1,2,19,6,1,1,1,4,0,32,1,Higher,High
Low,52,51,4,5,1,1,1,1,1,2,1,25,6,1,0,1,3,1,43,2,College,Medium
Low,5,62,4,4,2,0,1,0,1,1,1,21,6,1,1,0,0,2,29,1,College,High
Medium,42,62,0,5,1,1,1,0,0,2,2,14,2,2,0,0,4,0,47,2,Higher,Medium
Medium,59,16,1,4,2,0,0,0,1,0,2,8,5,2,0,1,3,0,28,1,Higher,High
Low,57,48,0,6,2,0,1,0,0,1,1,12,2,0,2,1,1,0,42,2,College,High
High,48,22,3,2,1,1,1,1,0,0,1,13,2,2,0,0,1,2,36,1,College,Medium
High,41,12,0,0,0,0,1,1,0,1,2,7,1,1,2,0,4,0,27,1,Higher,Low
Low,11,22,1,5,0,1,1,1,0,2,0,13,5,0,2,1,0,0,20,0,School,Low
Medium,48,56,3,6,2,0,0,0,1,0,0,12,2,1,1,0,1,1,47,2,School,High
High,35,61,3,0,0,0,0,0,0,1,0,27,1,0,2,0,2,0,49,2,School,Low
High,1,53,4,6,2,1,0,1,2,1,1,23,5,1,0,0,2,2,37,1,College,High
Low,10,19,3,5,0,0,0,1,2,2,0,9,0,0,0,1,3,0,17,0,School,Low
Medium,38,51,3,4,0,2,0,1,2,1,1,22,5,0,0,0,1,1,43,2,College,Low
High,33,22,0,6,1,1,0,0,0,0,2,1,3,2,0,0,2,0,38,1,Higher,Medium
High,25,34,3,1,0,2,1,0,1,2,0,11,4,0,0,1,3,2,33,1,School,Low
High,17,66,2,0,2,0,0,1,1,0,2,16,3,2,1,0,3,0,38,1,Higher,High
Low,20,33,4,0,1,0,1,1,0,0,0,6,4,2,1,1,3,2,8,0,School,Medium
Medium,35,32,4,4,0,1,0,1,0,1,0,1,0,2,2,1,0,0,37,1,School,Low
Low,39,45,3,0,1,2,1,0,0,1,2,16,4,0,0,1,3,0,30,1,Higher,Medium
High,51,44,0,2,0,2,0,0,2,2,0,14,0,2,0,0,0,2,49,2,School,Low
High,45,18,4,4,2,1,0,0,0,2,1,5,5,2,2,1,2,0,42,2,College,High
Low,43,14,4,0,2,2,0,0,0,2,2,16,3,0,1,1,3,2,11,0,Higher,High
High,21,65,2,0,1,1,0,0,1,0,1,25,1,0,2,0,2,0,39,1,College,Medium
Medium,52,38,3,0,0,1,1,1,1,0,1,12,5,1,0,1,1,2,38,1,College,Low
Low,58,17,4,4,0,0,1,1,2,0,2,9,6,1,1,1,0,0,29,1,Higher,Low
High,29,69,4,1,1,0,0,0,2,0,0,27,5,0,2,1,2,0,52,3,School,Medium
High,49,58,4,3,1,0,0,1,2,1,0,20,4,2,2,0,3,0,53,3,School,Medium
Medium,42,31,4,6,2,1,1,0,2,2,0,8,6,0,0,1,2,1,32,1,School,High
Medium,59,20,0,5,1,1,0,1,0,1,2,1,6,0,0,0,3,0,34,1,Higher,Medium
Medium,29,39,1,6,0,0,0,1,0,1,0,21,5,1,1,1,4,1,35,1,School,Low
Low,7,26,2,0,1,0,1,1,2,0,1,16,2,1,0,0,0,2,3,0,College,Medium
Low,33,1,0,6,2,0,1,0,2,2,2,2,1,0,2,0,1,1,3,0,Higher,High
High,56,38,2,3,1,2,1,1,1,0,1,22,1,2,0,1,2,0,45,2,College,Medium
High,46,55,4,3,0,0,1,0,1,0,0,1,0,0,2,0,2,0,46,2,School,Low
Medium,8,12,2,0,1,1,0,1,1,2,0,29,3,0,0,0,4,1,8,0,School,Medium
High,50,55,3,0,1,2,0,1,2,2,0,9,2,1,1,0,3,1,46,2,School,Medium
Low,19,65,3,5,1,2,0,1,1,1,1,25,3,2,1,0,1,1,36,1,College,Medium
Low,39,55,1,3,2,1,0,1,2,0,0,20,6,1,1,1,3,0,38,1,School,High
Low,24,27,1,1,2,1,1,1,0,0,1,23,6,2,0,1,3,2,16,0,College,High
High,18,63,2,3,2,0,0,1,2,0,2,4,3,0,1,1,2,1,46,2,Higher,High
Medium,4,63,0,1,2,0,0,0,0,2,2,7,1,0,2,0,2,2,34,1,Higher,High
Low,10,55,0,6,0,1,1,0,0,0,2,11,2,2,0,1,2,1,34,1,Higher,Low
High,14,40,4,2,0,1,0,0,2,0,0,3,4,2,1,0,0,1,35,1,School,Low
Low,7,40,0,1,2,0,1,0,1,0,1,13,6,0,0,1,0,1,15,0,College,High
Medium,18,3,1,5,2,2,1,0,2,0,0,23,2,2,0,0,2,2,15,0,School,High
Low,22,56,0,4,2,2,1,0,1,1,0,27,0,0,2,0,3,0,34,1,School,High
Medium,26,29,4,6,1,2,1,1,0,2,2,15,5,2,0,1,1,0,26,1,Higher,Medium
Medium,39,45,3,0,0,0,1,1,0,1,0,14,1,1,0,0,1,0,36,1,School,Low
Medium,31,55,0,2,1,1,0,1,0,2,0,2,2,2,0,0,3,0,36,1,School,Medium
High,25,30,0,3,2,2,0,0,0,0,0,24,0,1,2,1,4,1,39,1,School,High
Medium,26,6,1,1,0,0,0,0,2,2,1,22,4,1,1,0,3,2,14,0,College,Low
Low,18,53,2,2,2,0,1,1,0,1,0,15,3,1,1,0,1,1,29,1,School,High
Low,49,7,3,6,1,0,1,1,1,0,2,3,3,1,0,0,4,0,22,1,Higher,Medium
Low,41,54,2,4,0,1,0,1,1,1,2,15,0,1,1,1,4,0,43,2,Higher,Low
High,28,68,4,1,1,1,1,1,0,1,1,25,1,1,0,1,1,1,55,3,College,Medium
Low,38,43,4,5,0,1,1,0,2,1,0,8,3,1,1,1,4,1,38,1,School,Low
Medium,59,12,2,3,2,1,1,1,0,2,1,18,1,2,1,1,0,0,31,1,College,High
Low,40,19,1,3,0,2,0,0,0,1,0,26,1,2,2,1,2,1,20,0,School,Low
High,32,31,1,1,1,1,1,0,1,2,2,12,3,1,2,0,4,0,33,1,Higher,Medium
High,18,59,1,4,1,2,1,1,2,1,0,8,4,1,2,0,4,2,43,2,School,Medium
High,36,49,3,0,1,0,1,0,2,1,0,3,5,1,1,1,0,2,42,2,School,Medium
Low,18,26,4,0,1,2,0,0,1,2,2,14,2,2,1,0,0,1,9,0,Higher,Medium
High,32,24,4,3,2,1,1,1,1,2,2,12,5,2,1,1,3,2,35,1,Higher,High
Low,46,51,4,6,1,2,0,0,1,1,2,9,3,0,1,1,1,0,33,1,Higher,Medium
High,15,67,3,6,2,0,1,0,2,1,0,7,2,0,2,1,3,0,39,1,School,High
Medium,22,20,4,4,0,1,1,1,1,0,1,13,1,0,2,0,1,2,31,1,College,Low
High,6,17,2,3,1,0,0,1,1,1,0,16,6,2,1,0,0,0,21,1,School,Medium
High,25,38,0,0,0,0,0,1,1,1,0,26,4,2,1,0,2,2,39,1,School,Low
Low,31,14,3,3,0,0,0,1,0,0,0,19,1,2,2,1,1,1,16,0,School,Low
Medium,11,52,0,1,2,2,1,1,2,1,0,14,6,2,1,1,1,0,30,1,School,High
Medium,7,37,2,6,1,0,0,0,2,1,0,6,4,1,0,0,0,2,21,1,School,Medium
Low,4,47,1,6,2,1,0,1,0,2,0,11,6,0,2,0,4,1,20,0,School,High
Medium,41,51,1,5,1,0,0,1,2,2,0,14,5,0,2,1,3,1,44,2,School,Medium
Low,27,27,1,1,0,2,1,0,1,2,0,15,5,0,1,0,2,2,30,1,School,Low
Low,52,15,3,5,2,0,0,0,0,1,0,15,5,1,0,1,1,1,19,0,School,High
High,4,15,1,4,1,0,1,0,1,2,0,18,0,1,1,1,4,1,23,1,School,Medium
Medium,48,34,3,0,0,0,1,1,1,1,0,1,5,0,0,1,0,2,40,1,School,Low
High,25,16,3,4,2,0,1,1,1,0,1,13,4,1,1,1,1,1,25,1,College,High
Low,4,51,0,4,2,2,0,1,1,2,2,20,4,2,2,1,4,0,19,0,Higher,High
Medium,21,11,1,0,2,1,0,0,2,0,2,26,5,1,2,0,3,0,15,0,Higher,High
Low,14,47,4,2,2,0,0,1,0,1,0,6,1,0,0,1,0,2,15,0,School,High
Medium,12,21,1,2,0,0,0,0,0,1,0,14,5,0,0,1,4,1,24,1,School,Low
High,27,48,1,3,0,0,1,0,1,0,2,1,5,1,1,1,4,2,39,1,Higher,Low
Medium,32,51,1,2,0,0,0,0,0,0,1,28,3,2,2,1,1,1,39,1,College,Low
Medium,42,0,4,1,0,0,0,0,0,0,1,1,6,2,1,1,3,1,21,1,College,Low
Medium,22,65,4,6,1,0,1,0,1,0,1,4,3,0,1,0,0,2,43,2,College,Medium
Low,32,63,3,5,0,0,0,0,1,2,2,2,6,0,2,0,0,0,38,1,Higher,Low
Low,42,7,4,6,2,0,1,1,2,0,2,2,2,1,0,0,3,1,20,0,Higher,High
Medium,17,24,3,4,2,1,1,0,2,2,1,0,0,2,2,0,2,1,26,1,College,High
Medium,49,65,0,6,2,2,0,1,1,0,2,19,4,1,2,0,1,0,54,3,Higher,High
High,52,69,3,3,2,1,1,0,2,0,1,20,2,0,0,1,4,0,55,3,College,High
High,29,50,1,4,1,1,1,0,2,2,0,14,5,1,2,1,1,1,49,2,School,Medium
High,25,52,2,0,2,1,1,0,0,1,0,22,4,0,0,0,3,1,38,1,School,High
Low,15,14,2,6,2,1,0,0,1,1,0,27,4,0,2,0,4,1,16,0,School,High
Low,12,49,1,2,2,0,0,0,0,1,2,5,0,1,0,1,2,0,23,1,Higher,High
Low,38,37,3,0,0,0,0,0,0,1,0,28,0,1,0,1,3,1,19,0,School,Low
High,32,39,1,3,0,2,1,0,1,2,0,21,6,0,1,0,1,1,44,2,School,Low
High,25,65,4,5,1,0,0,1,0,1,0,20,2,2,2,0,4,1,48,2,School,Medium
High,47,38,3,1,1,1,0,0,2,2,0,5,3,2,1,0,0,0,37,1,School,Medium
Low,0,16,1,2,1,1,1,1,2,2,1,12,4,0,2,1,4,1,2,0,College,Medium
High,48,6,4,0,2,2,0,0,2,2,0,14,1,1,1,0,4,0,32,1,School,High
High,37,38,4,5,1,0,0,0,2,2,1,21,2,0,1,0,3,2,39,1,College,Medium
High,1,67,3,6,0,1,1,1,2,2,0,9,4,2,1,1,2,1,48,2,School,Low
Low,48,34,0,2,0,1,0,1,0,0,0,0,6,0,1,0,4,2,37,1,School,Low
Low,5,50,0,4,0,1,1,0,1,2,0,16,0,0,1,1,4,0,21,1,School,Low
Low,45,46,4,1,2,1,0,1,0,1,1,13,5,0,2,1,2,1,32,1,College,High
Low,49,35,0,6,2,1,0,0,0,2,1,28,0,2,1,1,2,0,43,2,College,High
Medium,37,63,4,5,1,0,0,1,2,1,1,14,0,2,1,1,4,0,41,2,College,Medium
Medium,41,12,0,2,1,2,1,1,2,2,0,13,0,1,2,1,0,1,19,0,School,Medium
High,23,17,4,6,1,0,0,1,0,1,2,25,5,1,0,1,0,1,27,1,Higher,Medium
High,17,20,4,1,1,0,0,1,0,2,2,9,3,2,2,0,0,0,27,1,Higher,Medium
Low,26,64,4,5,2,0,1,1,1,0,0,20,3,2,0,0,3,2,38,1,School,High
Low,40,7,4,4,0,0,0,0,1,1,1,22,4,0,2,1,3,1,17,0,College,Low
Medium,7,47,2,4,2,1,1,1,1,1,2,4,4,1,1,1,0,0,31,1,Higher,High
High,27,42,0,0,1,0,0,1,1,2,2,1,2,1,0,0,0,1,32,1,Higher,Medium
Low,9,52,4,3,2,1,0,1,1,1,2,17,0,0,1,0,0,1,21,1,Higher,High
High,16,26,1,0,0,0,0,0,2,2,1,0,6,1,0,0,2,0,29,1,College,Low
High,54,18,3,1,2,0,0,0,1,0,2,0,0,2,1,0,1,0,34,1,Higher,High
High,28,22,1,0,0,0,0,1,0,0,1,14,5,2,0,1,3,2,34,1,College,Low
Medium,57,49,1,5,1,1,0,0,2,2,2,26,1,2,1,0,3,1,47,2,Higher,Medium
High,5,50,2,2,2,2,1,0,0,2,2,6,1,2,0,0,3,2,30,1,Higher,High
High,13,42,0,5,1,0,0,0,2,0,1,6,0,0,0,0,1,2,42,2,College,Medium
Low,21,50,2,0,1,0,1,1,2,1,1,25,1,1,1,1,4,2,22,1,College,Medium
Low,53,68,0,3,0,0,0,1,1,1,1,16,1,0,2,0,3,2,52,3,College,Low
Medium,5,40,4,5,0,0,1,0,0,1,2,19,0,0,2,1,4,2,26,1,Higher,Low
Low,25,10,2,5,1,1,1,0,1,0,0,8,3,2,1,1,2,2,16,0,School,Medium
Medium,38,51,3,5,0,2,1,1,0,2,0,0,3,0,1,1,0,2,46,2,School,Low
Low,11,22,0,3,0,2,0,1,0,0,1,18,6,0,2,1,0,0,15,0,College,Low
Medium,34,48,2,5,1,1,0,0,1,1,1,6,4,0,0,1,2,2,43,2,College,Medium
Low,13,37,3,1,1,1,1,1,1,2,0,28,3,2,1,0,0,0,14,0,School,Medium
Low,21,46,1,4,0,1,1,0,2,2,0,14,0,0,1,1,2,0,38,1,School,Low
High,50,6,4,3,1,2,1,1,2,1,1,14,6,2,1,0,0,0,32,1,College,Medium
Medium,22,65,4,1,1,1,1,1,2,2,1,27,1,2,1,1,2,0,42,2,College,Medium
Low,47,61,1,3,0,0,1,1,0,1,1,20,0,1,2,0,2,0,39,1,College,Low
High,6,28,2,3,2,0,1,1,1,0,0,14,2,0,2,1,0,1,27,1,School,High
Low,39,37,1,4,2,0,0,0,2,2,0,10,6,2,1,0,4,0,26,1,School,High
High,49,32,3,2,1,0,0,1,1,1,0,18,1,1,2,1,3,1,33,1,School,Medium
Medium,24,28,0,1,0,0,1,1,2,1,1,10,0,1,2,1,3,1,28,1,College,Low
Medium,12,22,2,3,1,2,0,1,2,0,2,14,6,1,2,1,1,0,16,0,Higher,Medium
High,20,2,0,6,0,1,1,1,1,2,0,12,4,2,0,1,1,0,24,1,School,Low
Medium,40,44,1,3,1,0,1,1,2,2,2,0,4,2,1,0,0,0,36,1,Higher,Medium
Low,9,7,4,0,1,1,0,0,1,2,2,25,1,0,1,1,3,1,3,0,Higher,Medium
High,52,28,0,5,0,1,1,0,2,2,0,9,3,2,1,0,1,1,51,3,School,Low
Medium,54,1,0,2,1,0,0,1,1,0,0,15,4,0,1,0,3,2,22,1,School,Medium
Medium,58,49,4,4,2,0,1,0,2,0,0,19,5,2,2,1,2,0,40,1,School,High
Low,8,64,0,6,2,2,1,1,2,2,1,29,2,1,2,1,4,2,32,1,College,High
High,14,19,0,1,0,2,0,0,0,1,2,17,5,2,0,1,2,1,25,1,Higher,Low
Low,51,51,4,3,1,2,0,1,1,2,2,14,5,0,1,0,1,1,35,1,Higher,Medium
Low,1,36,4,5,2,0,0,1,2,2,2,22,6,0,0,0,1,1,12,0,Higher,High
Low,24,26,1,1,0,2,1,0,0,1,2,7,5,1,0,0,0,2,19,0,Higher,Low
Low,12,46,1,4,0,1,0,1,1,2,1,14,1,1,0,1,4,2,26,1,College,Low
Medium,33,5,0,2,0,2,1,1,2,1,0,6,2,1,0,0,4,0,21,1,School,Low
High,50,59,2,0,2,2,1,1,2,0,0,18,1,0,2,0,3,2,50,2,School,High
High,57,44,1,2,2,0,0,1,2,1,1,27,3,2,0,0,0,0,52,3,College,High
Low,33,43,1,0,2,1,1,1,1,0,0,3,0,2,2,1,4,0,28,1,School,High
High,34,17,2,1,2,1,0,0,0,2,2,5,5,0,2,0,1,2,28,1,Higher,High
High,37,64,2,2,1,0,0,0,2,1,1,1,1,0,0,1,2,2,53,3,College,Medium
Low,2,24,4,2,2,2,1,0,0,1,1,14,0,0,1,1,2,0,4,0,College,High
High,41,26,1,2,0,0,1,0,1,2,2,21,1,0,2,1,4,2,37,1,Higher,Low
Low,55,6,3,4,1,1,0,1,1,0,1,11,6,2,1,1,2,0,22,1,College,Medium
Medium,58,43,3,1,2,1,0,1,2,1,2,4,3,1,2,1,1,1,37,1,Higher,High
High,5,28,0,6,1,0,1,0,2,1,1,19,2,2,2,0,3,1,22,1,College,Medium
High,54,43,1,0,0,0,0,1,2,2,0,1,0,0,0,0,1,0,42,2,School,Low
Low,47,35,3,2,2,0,1,0,0,0,2,14,2,1,0,0,4,1,26,1,Higher,High
Medium,48,18,1,1,1,2,1,1,0,2,0,23,1,2,1,0,1,2,26,1,School,Medium
Medium,18,5,1,6,2,1,0,1,2,1,1,7,6,0,2,0,1,0,16,0,College,High
High,2,24,3,5,1,0,1,0,1,2,1,3,5,0,1,1,2,0,26,1,College,Medium
High,17,30,1,4,1,0,0,0,1,2,1,3,1,0,0,0,3,1,27,1,College,Medium
Medium,38,8,2,4,0,1,0,0,2,0,1,10,3,2,0,0,0,0,29,1,College,Low
Low,8,36,0,5,0,1,1,0,0,0,1,13,1,2,1,1,4,1,26,1,College,Low
Medium,51,26,4,1,2,0,1,0,1,2,0,8,3,2,1,1,4,0,33,1,School,High
Low,11,12,3,0,2,2,1,0,0,2,2,20,1,0,2,1,1,2,6,0,Higher,High
High,4,40,4,1,1,2,0,0,2,2,1,26,5,2,1,1,2,1,33,1,College,Medium
Medium,2,65,0,1,0,0,0,1,0,1,1,13,2,1,1,0,2,2,36,1,College,Low
Medium,10,23,2,3,0,0,0,0,0,0,1,14,1,1,0,1,4,0,21,1,College,Low
Low,56,43,2,6,1,0,0,0,0,1,0,2,0,0,0,0,0,1,38,1,School,Medium
High,29,59,2,4,0,2,0,0,1,0,1,27,4,1,1,0,0,2,53,3,College,Low
High,3,8,2,0,0,0,0,1,0,0,1,12,0,0,0,0,3,0,22,1,College,Low
Medium,4,1,3,3,1,2,1,1,0,1,1,13,6,2,0,1,1,1,2,0,College,Medium
Medium,0,55,3,5,2,2,1,1,0,1,2,17,0,0,0,0,4,2,29,1,Higher,High
High,26,29,1,1,2,2,1,0,2,2,2,2,3,0,0,1,0,1,34,1,Higher,High
Medium,27,21,1,5,2,2,0,1,0,0,1,15,1,2,2,1,0,0,24,1,College,High
Medium,28,12,0,4,1,1,1,0,0,0,2,21,2,0,2,0,2,2,20,0,Higher,Medium
High,17,15,1,3,2,0,0,0,1,0,1,29,6,0,1,0,3,0,20,0,College,High
Low,11,44,0,6,1,0,1,1,2,2,1,1,1,1,2,1,4,2,26,1,College,Medium
High,12,64,0,3,1,2,1,0,0,0,2,21,4,0,1,0,3,0,43,2,Higher,Medium
Low,40,10,0,0,0,1,1,1,1,0,2,14,1,1,2,0,0,0,20,0,Higher,Low
Low,1,69,2,6,0,2,1,1,1,1,1,9,4,0,2,0,3,1,39,1,College,Low
Medium,36,19,4,1,2,2,0,1,0,1,0,27,4,2,1,1,0,1,27,1,School,High
Medium,44,62,4,0,1,0,0,1,1,2,2,22,0,2,1,0,2,2,41,2,Higher,Medium
Low,15,11,3,3,2,0,1,0,1,0,2,14,4,1,1,1,1,2,5,0,Higher,High
Low,47,61,0,6,2,1,1,1,1,2,0,14,4,0,0,1,4,0,41,2,School,High
Low,23,41,2,3,0,1,0,1,1,1,0,21,5,0,0,1,1,1,27,1,School,Low
Medium,34,68,1,0,2,0,0,0,0,0,0,11,6,0,0,1,3,0,43,2,School,High
Low,21,57,1,3,2,1,1,0,0,0,0,17,6,1,1,1,0,0,35,1,School,High
High,35,4,3,6,0,1,1,1,1,2,0,16,2,1,0,1,1,2,34,1,School,Low
Low,10,26,3,2,2,0,1,1,0,0,1,7,5,1,2,1,2,0,13,0,College,High
High,54,27,0,4,2,2,1,1,0,0,2,25,3,1,2,1,3,0,38,1,Higher,High
High,57,25,0,1,1,2,1,1,1,1,0,4,1,1,2,1,3,1,40,1,School,Medium
Low,45,48,1,4,2,0,1,0,1,2,0,25,2,1,2,0,1,0,40,1,School,High
Low,28,20,1,1,0,2,0,1,1,1,1,24,3,2,0,0,3,0,19,0,College,Low
Low,34,0,1,6,0,0,0,0,0,2,2,15,0,2,0,0,4,0,14,0,Higher,Low
Low,47,57,1,3,1,0,0,0,0,1,2,7,2,0,2,1,1,2,39,1,Higher,Medium
Low,53,54,4,6,0,1,0,0,2,2,1,18,2,0,1,0,1,1,53,3,College,Low
High,14,25,0,0,0,0,1,1,2,0,1,14,0,1,2,1,2,2,28,1,College,Low
High,59,24,0,0,0,0,0,1,1,0,2,28,4,2,2,1,3,2,41,2,Higher,Low
High,30,32,1,3,2,2,0,0,2,2,0,7,0,1,1,1,2,1,37,1,School,High
Medium,41,68,2,1,1,0,0,1,0,2,0,19,1,2,1,1,3,2,48,2,School,Medium
High,40,5,1,3,1,2,1,0,2,2,0,17,0,2,0,0,1,0,26,1,School,Medium
Medium,42,22,3,1,1,0,1,0,2,2,0,14,6,2,1,1,3,2,27,1,School,Medium
Medium,15,29,2,3,1,0,1,1,1,0,0,14,2,2,1,1,2,2,23,1,School,Medium
High,9,53,3,3,0,2,0,1,0,2,0,3,6,1,0,1,1,0,35,1,School,Low
Low,48,10,2,3,2,0,0,0,0,0,0,26,6,1,0,0,3,0,16,0,School,High
High,31,30,3,0,0,2,1,0,0,0,0,20,0,1,2,1,2,2,35,1,School,Low
High,50,5,1,1,0,0,1,0,0,2,0,20,1,2,2,1,3,2,36,1,School,Low
High,1,10,1,5,0,0,0,1,2,0,1,8,6,0,1,1,2,0,21,1,College,Low
Low,23,11,2,3,0,0,1,1,1,2,1,27,4,1,0,1,4,1,18,0,College,Low
Low,22,65,3,4,1,0,1,1,2,0,1,14,4,1,1,0,2,0,43,2,College,Medium
Low,1,52,4,4,1,2,0,0,0,2,1,0,3,0,1,0,0,1,26,1,College,Medium
Medium,37,35,2,6,2,1,0,1,1,2,2,8,5,1,2,0,3,0,31,1,Higher,High
Medium,30,16,2,6,0,1,0,0,1,1,2,14,3,1,1,0,0,0,33,1,Higher,Low
Medium,50,27,0,0,1,1,1,0,0,1,2,12,1,2,1,0,4,1,36,1,Higher,Medium
Low,39,21,2,2,2,1,0,1,0,2,0,21,3,0,2,1,2,1,19,0,School,High
High,25,6,4,5,0,0,0,0,1,1,0,14,4,0,2,1,1,1,29,1,School,Low
High,28,14,1,0,0,2,1,0,0,0,2,9,6,0,0,1,1,2,28,1,Higher,Low
High,2,10,3,2,1,0,1,0,0,2,0,28,6,1,2,0,2,1,18,0,School,Medium
Medium,57,23,0,0,0,2,1,1,0,2,0,26,5,0,0,0,4,0,39,1,School,Low
Medium,13,66,3,6,0,2,0,0,0,2,0,26,4,2,0,1,2,0,40,1,School,Low
Medium,24,29,1,4,1,0,0,0,1,1,0,3,6,0,2,0,1,0,28,1,School,Medium
Medium,47,69,2,3,2,0,1,1,1,1,0,27,3,0,2,1,1,2,44,2,School,High
Medium,0,65,4,1,2,2,0,0,2,0,1,15,0,2,2,1,1,1,35,1,College,High
High,52,60,0,6,1,1,0,1,2,1,2,3,4,1,1,0,2,1,55,3,Higher,Medium
High,2,40,4,3,1,1,0,1,1,1,2,20,6,2,2,1,4,2,40,1,Higher,Medium
High,53,50,4,4,2,2,0,0,2,0,0,10,3,2,0,1,4,1,50,2,School,High
High,25,43,4,1,2,0,1,0,0,2,0,11,3,0,0,0,4,0,37,1,School,High
High,17,12,4,2,1,0,0,1,0,2,0,12,6,0,0,1,1,1,15,0,School,Medium
High,8,11,1,2,1,2,0,0,1,0,0,1,6,0,2,1,3,2,21,1,School,Medium
